model,FPR,TPR
0,0.0,0.0
0,0.0,0.0004923682914820286
0,0.0,0.0029542097488921715
0,5.119803399549457e-05,0.0029542097488921715
0,5.119803399549457e-05,0.004923682914820286
0,0.00010239606799098914,0.004923682914820286
0,0.00010239606799098914,0.006893156080748399
0,0.00015359410198648372,0.006893156080748399
0,0.00015359410198648372,0.008370260955194485
0,0.00020479213598197828,0.008370260955194485
0,0.00020479213598197828,0.012309207287050714
0,0.00025599016997747285,0.012309207287050714
0,0.00025599016997747285,0.014278680452978828
0,0.00030718820397296744,0.014278680452978828
0,0.00030718820397296744,0.01674052191038897
0,0.00046078230595945115,0.01674052191038897
0,0.00046078230595945115,0.01772525849335303
0,0.0005119803399549457,0.01772525849335303
0,0.0005119803399549457,0.018217626784835055
0,0.0006655744419414295,0.018217626784835055
0,0.0006655744419414295,0.019202363367799114
0,0.0007679705099324186,0.019202363367799114
0,0.0007679705099324186,0.0206794682422452
0,0.0008191685439279131,0.0206794682422452
0,0.0008191685439279131,0.021664204825209258
0,0.0010239606799098914,0.021664204825209258
0,0.0010239606799098914,0.022156573116691284
0,0.001075158713905386,0.022156573116691284
0,0.001075158713905386,0.022648941408173313
0,0.0011775547818963753,0.022648941408173313
0,0.0011775547818963753,0.023141309699655343
0,0.0012287528158918697,0.023141309699655343
0,0.0012287528158918697,0.023633677991137372
0,0.0012799508498873642,0.023633677991137372
0,0.0012799508498873642,0.025110782865583457
0,0.001331148883882859,0.025110782865583457
0,0.001331148883882859,0.026587887740029542
0,0.0013823469178783534,0.026587887740029542
0,0.0013823469178783534,0.029049729197439686
0,0.0014335449518738481,0.029049729197439686
0,0.0014335449518738481,0.029542097488921712
0,0.0014847429858693426,0.029542097488921712
0,0.0014847429858693426,0.03052683407188577
0,0.0015359410198648373,0.03052683407188577
0,0.0015359410198648373,0.03151157065484983
0,0.0015871390538603318,0.03151157065484983
0,0.0015871390538603318,0.032003938946331856
0,0.0016383370878558263,0.032003938946331856
0,0.0016383370878558263,0.033973412112259974
0,0.0017919311898423101,0.033973412112259974
0,0.0017919311898423101,0.034958148695224026
0,0.0019455252918287938,0.034958148695224026
0,0.0019455252918287938,0.035942885278188084
0,0.0019967233258242883,0.035942885278188084
0,0.0019967233258242883,0.03643525356967011
0,0.0020479213598197828,0.03643525356967011
0,0.0020479213598197828,0.03692762186115214
0,0.0020991193938152777,0.03692762186115214
0,0.0020991193938152777,0.0379123584441162
0,0.002252713495801761,0.0379123584441162
0,0.002252713495801761,0.03840472673559823
0,0.0023039115297972556,0.03840472673559823
0,0.0023039115297972556,0.038897095027080254
0,0.0024575056317837395,0.038897095027080254
0,0.0024575056317837395,0.03938946331856229
0,0.0025599016997747285,0.03938946331856229
0,0.0025599016997747285,0.03988183161004431
0,0.0026110997337702234,0.03988183161004431
0,0.0026110997337702234,0.04037419990152634
0,0.002662297767765718,0.04037419990152634
0,0.002662297767765718,0.04234367306745446
0,0.0028158918697522013,0.04234367306745446
0,0.0028158918697522013,0.04283604135893648
0,0.0029182879377431907,0.04283604135893648
0,0.0029182879377431907,0.043328409650418516
0,0.002969485971738685,0.043328409650418516
0,0.002969485971738685,0.04529788281634663
0,0.0030206840057341797,0.04529788281634663
0,0.0030206840057341797,0.04677498769079271
0,0.0031742781077206635,0.04677498769079271
0,0.0031742781077206635,0.04775972427375677
0,0.0033278722097071474,0.04775972427375677
0,0.0033278722097071474,0.04874446085672083
0,0.0036862584476756092,0.04874446085672083
0,0.0036862584476756092,0.049236829148202856
0,0.0037374564816711037,0.049236829148202856
0,0.0037374564816711037,0.04972919743968488
0,0.003942248617653082,0.04972919743968488
0,0.003942248617653082,0.050221565731166914
0,0.0040958427196395655,0.050221565731166914
0,0.0040958427196395655,0.05071393402264894
0,0.00424943682162605,0.05071393402264894
0,0.00424943682162605,0.052191038897095025
0,0.004300634855621544,0.052191038897095025
0,0.004300634855621544,0.05465288035450517
0,0.004505426991603522,0.05465288035450517
0,0.004505426991603522,0.055145248645987195
0,0.004607823059594511,0.055145248645987195
0,0.004607823059594511,0.056129985228951254
0,0.004710219127585501,0.056129985228951254
0,0.004710219127585501,0.05760709010339734
0,0.00481261519557649,0.05760709010339734
0,0.00481261519557649,0.0585918266863614
0,0.0048638132295719845,0.0585918266863614
0,0.0048638132295719845,0.05957656326932546
0,0.004915011263567479,0.05957656326932546
0,0.004915011263567479,0.06006893156080748
0,0.0049662092975629735,0.06006893156080748
0,0.0049662092975629735,0.060561299852289516
0,0.005017407331558468,0.060561299852289516
0,0.005017407331558468,0.06351550960118169
0,0.005273397501535941,0.06351550960118169
0,0.005273397501535941,0.06400787789266371
0,0.005324595535531436,0.06400787789266371
